id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,language,
121,softexnacional,,2020-08-06,"Lançamento do Ela Empoder@ dia 27/7 às 17hNa próxima segunda-feira a Softex terá a alegria de lançar o programa Ela Empoder@, uma iniciativa voltada para o empreendedorismo feminino no Estado do Rio de Janeiro.No evento, além de apresentarmos o Programa, debateremos as Novas Narrativas da Mulher Empreendedora, com:Lindalia Sofia Junqueira Reis , CEO da Íons InnovationLuana Clara, Sócia da Guru da ComunicaçãoMaíra Pimentel, Co-Founder da TamboroE aí? Vamos junt@s? Para se inscrever, basta clicar:https://lnkd.in/djzSuAe'",15,0,0,,linkedin,pt,
123,softexnacional,,2020-08-06,"ATENÇÃO PARA NOVA DATA!.Por questões técnicas e para melhor atender ao nosso público, alteramos a data de nosso bate-papo..O próximo painel,Coisa de Mulher - Paradigmas do empreendedorismo feminino, ocorrerá no dia 06 de agosto de 2020, às 18 horas. Conheça nossas painelistas:.Rayanny Nunes, Gerente de Inovação da Softex e cofundadora da Klipbox;.Danielle Cohen, CPO da BioHack e CTO e cofundadora Pingui;.Bárbara Schorchit, Fundadora e CEO da Genecoin - Blockchain for Biodiversity.Para se inscrever, acessehttps://lnkd.in/gp-tFwj.Para saber mais sobre o programa, entre em nosso site:www.elaempodera.softex.br'",13,2,0,,linkedin,pt,
125,softexnacional,,2020-08-06,"Está no ar o Resultado Preliminar do Edital de Startups, Grupos de Pesquisa e Empresas de TI do Programa IA2 MCTI. O prazo para interposição de Recursos encerra no dia 31 de Julho. O Resultado Final será divulgado até o dia 12 de Agosto.Acesse: softex.br/iamcti'",26,1,0,,linkedin,pt,
126,softexnacional,,2020-08-06,"O Programa Ela Empoder@ continua sua série de debates sobre empreendedorismo feminino. .O próximo painel é Coisa de Mulher - Paradigmas do empreendedorismo feminino. O evento ocorrerá no dia 03 de agosto de 2020, às 17 horas, no formato online. Conheça nossas painelistas:.Rayanny Nunes, Gerente de Inovação da Softex e cofundadora da Klipbox;.Danielle Cohen, Head of Tech e cofundadora da Pingui.Bárbara Schorchit, Fundadora e CEO da Genecoin - Blockchain for Biodiversity.É só se inscrever para ter acesso ao link do evento! .https://lnkd.in/dKB7WmP.www.elaempodera.softex.br'",16,0,0,,linkedin,pt,
127,softexnacional,,2020-08-06,"HandsOn: Programas de Aceleração para ideias e startups em todos os estágios..Atuamos em todos os estágios de desenvolvimento do seu negócio, desde a ideia até a internacionalização..Acesse e confira mais detalhes: http://handson.softex.br/'",19,1,0,,linkedin,pt,
128,softexnacional,,2020-08-06,"Estão abertas as inscrições do programa Ela Empoder@, uma iniciativa da Softex, com apoio do agente regional Riosoft Sistemas, voltada para o empreendedorismo feminino no estado do RJ..www.elaempodera.softex.br.Podem se inscrever equipes empreendedoras de todo o estado do Rio de Janeiro que possuam mulheres como fundadoras ou co-fundadoras..ElaEm PoderEmpodera.#elaempodera #mulheresnati #empreendedorismo #empreendedorismofeminino #rj #riodejaneiro #mulher #empreendedora #grlpwr #inovação #startup'",11,0,0,"#elaempodera, #mulheresnati, #empreendedorismo, #empreendedorismofeminino, #rj, #riodejaneiro, #mulher, #empreendedora, #grlpwr, #inovação, #startup'",linkedin,pt,
132,softexnacional,,2020-08-06,Novos conteúdos gratuitos na Plataforma EAD do Programa Conecta Startup Brasil: https://lnkd.in/dKXwfrC',11,0,0,,linkedin,pt,
69,bairesdev,,2020-08-06,Nacho De Marco posted a new article on LinkedIn diving into the major trends impacting the new normalcy and how adaptability is key to face this ever-changing business scenario.Discover more here: https://lnkd.in/dacsMkB#Business #Trends',60,0,0,"#Business, #Trends'",linkedin,en,
131,bairesdev,,2020-08-06,"""What sets us apart? Discover more about our unique selection process, our time zone compatibility, and our presence across all Latin America. Learn more about BairesDev's unique perks.#SoftwareDevelopment #SoftwareOutsourcingCompany""",56,0,0,"#SoftwareDevelopment, #SoftwareOutsourcingCompany""",linkedin,en,
197,bairesdev,,2020-08-06,"""Chris Taylor, BairesDev's Business Development Manager, discusses blockchain and how it will impact data science. Find out more here: https://lnkd.in/dQStndh#Blockchain #DataScience""",20,0,0,"#Blockchain, #DataScience""",linkedin,en,
201,bairesdev,,2020-08-06,"""Emma White, BairesDev's Business Development Manager, analyzes the most relevant data threats for business. Read more here: https://lnkd.in/daiGg4U#BigData #DataPrivacy""",49,1,0,"#BigData, #DataPrivacy""",linkedin,en,
