id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,,,
42,iteris-consultoria-e-software,,2020-10-20,"Você sabia que por meio do AWS Secrets Manager é possível mitigar os riscos do processo de recuperação de dados diferenciados por ambiente?Quem fala sobre essa solução é o Fábio Tinelo, um de nossos Tech Leads, no artigo da semana.Para ler o conteúdo na íntegra, clique na imagem.#AWS #SecretManager #BlogIteris #Iterishttps://lnkd.in/eA9SyUm'",57,0,0,"#AWS, #SecretManager, #BlogIteris, #Iterishttps://lnkd.in/eA9SyUm'",linkedin,,,
47,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Analista de Testes Jr. - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#testes #analista #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/e78iCUe'",72,5,0,"#testes, #analista, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/e78iCUe'",linkedin,,,
49,iteris-consultoria-e-software,,2020-10-20,"O Android possui diversos componentes para a criação de interfaces de usuário, mas será que esses componentes são suficientes para atender as necessidades dos desenvolvedores ou será que é necessário trabalhar com views customizadas?O Jean Nelson de Almeida Pereira, Dev Mobile Android aqui na Iteris, fala um pouco sobre o tema no artigo de hoje.Clique na imagem e conheça mais sobre o custom view.#Android #mobile #dev #customview #blogiteris #iterishttps://lnkd.in/eEwZUqh'",61,0,0,"#Android, #mobile, #dev, #customview, #blogiteris, #iterishttps://lnkd.in/eEwZUqh'",linkedin,,,
50,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Dev Mobile Android Jr - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#Dev #Mobile #Android #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/ewKCCKx'",58,1,0,"#Dev, #Mobile, #Android, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/ewKCCKx'",linkedin,,,
52,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Dev Front-end React Pl/Sr - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#frontend #react #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/eRx2WAd'",50,0,0,"#frontend, #react, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/eRx2WAd'",linkedin,,,
54,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Dev Back-end Kotlin Pl/Sr - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#backend #kotlin #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/e45DJ2m'",39,0,0,"#backend, #kotlin, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/e45DJ2m'",linkedin,,,
55,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Dev Full Stack Java e Angular Pl/Sr - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#fullstack #java #angular #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/gN5UuJA'",29,0,0,"#fullstack, #java, #angular, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/gN5UuJA'",linkedin,,,
56,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!DevOps Pl - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#devOps #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/eHgWhpC'",32,1,0,"#devOps, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/eHgWhpC'",linkedin,,,
57,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Agile Master - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#agile #agilemaster #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/e7mByBY'",28,0,0,"#agile, #agilemaster, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/e7mByBY'",linkedin,,,
65,iteris-consultoria-e-software,,2020-10-20,"No artigo dessa semana, escrito pelo William Morita, Squad Leader - Custom Dev aqui na Iteris, ele nos conta um pouco sobre o SharePoint e como a chegada do SPFx trouxe agilidade para a customização de portais.Clique na imagem e leia o artigo!#sharepoint #SPFx #customdev #blogIteris #Iterishttps://lnkd.in/gbitFgC'",84,3,0,"#sharepoint, #SPFx, #customdev, #blogIteris, #Iterishttps://lnkd.in/gbitFgC'",linkedin,,,
