company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
ANZ,2437.0,ANZ,+ de 10.001 funcionários,True,"Melbourne, Victoria",Bancos,0.0,https://www.linkedin.com/company/2437/about/,"Retail Banking, Private Banking, Commercial Banking, Wealth Management e Institutional Banking",0,http://www.anz.com,,,,,
Aon's Reinsurance Solutions,323542.0,Aon,NF,True,NF,Seguros,0.0,https://www.linkedin.com/company/323542/about/,NF,0,http://aon.io/reinsurance-media,,,,,
,,Apdata do Brasil Software Ltda,,False,,,,,,,,,,,,
Apex Communication Technologies,13722107.0,Apex Communication Corporation,51-200 funcionários,True,"Melrose Park, South Australia",Manufatura de eletroeletrônicos,0.0,https://www.linkedin.com/company/13722107/about/,NF,0,http://www.apexcomms.com.au,,,,,
Apex Group Ltd,589593.0,Apex Group Ltd,1.001-5.000 funcionários,True,"Hamilton, P.O. Box 2460 HMJX",Serviços financeiros,0.0,https://www.linkedin.com/company/589593/about/,"fund administration, private equity, hedge funds, custody, depositary, corporate services, esg, middle office e ManCo services",0,https://theapexgroup.com/,,,,,
"Apex Technology Management, A New Charter Technologies Company",2869324.0,Apex Management Company,11-50 funcionários,True,"Redding, CA",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/2869324/about/,"Managed IT Services, Network Design and Maintenance, Technology Assessments and Plans e In-house Network Operations Center",0,http://www.apex.com,,,,,
Apex Systems,4787.0,Apex Systems,1.001-5.000 funcionários,True,"Glen Allen, VA",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/4787/about/,"IT Staffing, Workforce Solutions, Consulting Services e Career Resources",0,http://www.apexsystems.com,,,,,
Apex-Brasil,57695.0,Apex-Brasil,201-500 funcionários,True,"Brasília (Brasília, Brazil), DF",Comércio e desenvolvimento internacional,0.0,https://www.linkedin.com/company/57695/about/,"Trade and Investment Promotion, Promoção de Exportações e Atração de Investimentos",0,http://www.apexbrasil.com.br,,,,,
Apolar Imóveis,1007235.0,Apolar Imóveis,1.001-5.000 funcionários,True,NF,Imobiliário,0.0,https://www.linkedin.com/company/1007235/about/,Imóbiliaria e Imóveis,0,http://www.apolar.com.br,,,,,
,,Apolar Jardim Botanico,,False,,,,,,,,,,,,
Apollo Global Management Inc.,48414.0,Apollo Global Management LLC,1.001-5.000 funcionários,True,"New York, New York",Serviços financeiros,0.0,https://www.linkedin.com/company/48414/about/,"Private Equity, Credit e Real Assets",0,http://www.apollo.com,,,,,
Aposentado Ativo,24771276.0,Aposentado,2-10 funcionários,True,"Sorocaba, São Paulo",Recursos humanos,0.0,https://www.linkedin.com/company/24771276/about/,"Inclusão Social, Oportunidade, Aposentados e Informação",0,http://www.aposentadoativo.com.br,,,,,
"Apostrophe, Inc.",16249089.0,"Apostrophe, Inc.",11-50 funcionários,True,"Denver, Colorado",Seguros,0.0,https://www.linkedin.com/company/16249089/about/,"Self-Insured Employers, Third Party Administrator (TPA), Health Plan e Healthcare Savings as a Service",0,http://www.apostrophehealth.com/,,,,,
Apple,162479.0,Apple,+ de 10.001 funcionários,True,"Cupertino, California",Produtos eletrônicos,0.0,https://www.linkedin.com/company/162479/about/,"Innovative Product Development, World-Class Operations, Retail e Telephone Support",0,http://www.apple.com/jobs/,,,,,
Applied Materials,2018.0,Applied Materials,+ de 10.001 funcionários,True,"Santa Clara, CA",Semicondutores,0.0,https://www.linkedin.com/company/2018/about/,"Semiconductor Manufacturing Equipment, Materials Engineering, Flat Panel Display Manufacturing Equipment e Global Services for the industries served",0,http://www.appliedmaterials.com,,,,,
Apptio,349297.0,Apptio,501-1.000 funcionários,True,"Bellevue, WA",Software,0.0,https://www.linkedin.com/company/349297/about/,"Technology Business Management (TBM) Solutions, IT Cost Transparency, IT Service Costing, IT Financial Management, Bill of IT, Budgeting and Forecasting, Agile Investment Management e Cloud Cost Management",0,http://www.apptio.com,,,,,
,,Aprimore Consultoria em Gestão Empresarial,,False,,,,,,,,,,,,
APS3 Serviços em Tecnologia ,2810661.0,APS3 Serviços em Tecnologia,11-50 funcionários,True,"Curitiba, PR",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/2810661/about/,"SIEMENS, PREACTOR, PPCP, MES, APS, PLM, PDM, TEAMCENTER, OPCENTER APS, PCP, OPCENTER SCHEDULING e OPCENTER PLANNING",0,http://www.aps3.com.br,,,,,
,,APS3 Serviços em Tecnologia Ltda,,False,,,,,,,,,,,,
APTIVE IT SOLUTIONS PRIVATE LIMITED,29055163.0,Aptive Solutions,NF,True,"UDAIPUR, Rajasthan",NF,0.0,https://www.linkedin.com/company/29055163/about/,NF,0,NF,,,,,
Apura Cyber Intelligence S/A,2478780.0,Apura Cybersecurity Intelligence,51-200 funcionários,True,"Paulicéia, São Paulo",Segurança e investigações,0.0,https://www.linkedin.com/company/2478780/about/,"Cybersecurity, Digital Investigations, Computer Forensic, Incident Response, Information Security, Information Gathering, Outsourcing, Open Source Intelligence e Advisory Services",0,http://www.apura.com.br,,,,,
Aquastar Indústria e Comércio Ltda,14000370.0,Aquastar Indústria e Comércio Ltda,2-10 funcionários,True,"Campo Largo, Paraná",Maquinário,0.0,https://www.linkedin.com/company/14000370/about/,"Sistemas de bombeamento, Fabricante de estações elevatórias de esgotos compactas, Sistemas flutuantes de bombeamento, Consultoria técnica, Mini-estações de tratamento de efluentes, Bombas submersíveis, Trituradores sanitários, Sistemas de aeração, Aeradores, Irrigação e gotejamento e Serviços de instalação",0,http://www.aquastar.com.br,,,,,
Arauco do Brasil,829553.0,Arauco do Brasil,5.001-10.000 funcionários,True,NF,Papel e produtos florestais,0.0,https://www.linkedin.com/company/829553/about/,"Florestal, Painéis, Química, Energia e Celulose",0,http://www.arauco.cl,,,,,
ArbitralWomen,10958863.0,ArbitralWomen,11-50 funcionários,True,NF,Prática jurídica,0.0,https://www.linkedin.com/company/10958863/about/,"Gender Equality, Arbitration, Women's rights, ADR, Mediation e Female Leadership",0,http://www.arbitralwomen.org,,,,,
"Arbitration Forums, Inc.",88523.0,Arbitration Forums,51-200 funcionários,True,"Tampa, FL",Seguros,0.0,https://www.linkedin.com/company/88523/about/,NF,0,http://www.arbfile.org,,,,,
Arbor Contract Carpet,437896.0,Arbor Contract Carpet,51-200 funcionários,True,"Irving, TX",Materiais de construção,0.0,https://www.linkedin.com/company/437896/about/,"Multi-family, Emergency Installation, Same Day/Next Day Installation, Customer Relations, Sustainable Flooring Materials e Relationship Building",0,http://www.ArborCarpet.com,,,,,
ARCA Mobility as a Service,64904610.0,ARCA Mobility as a Service,11-50 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/64904610/about/,NF,0,NF,,,,,
,,Arca Soluções Tecnológicas,,False,,,,,,,,,,,,
,,Archan Gerenciamento e Consultoria Ltda,,False,,,,,,,,,,,,
,,Arco Execução de Estratégias,,False,,,,,,,,,,,,
Arendt & Medernach,24493.0,Arendt & Medernach,501-1.000 funcionários,True,"Luxembourg, Luxembourg",Prática jurídica,0.0,https://www.linkedin.com/company/24493/about/,NF,0,http://www.arendt.com,,,,,
Arezzo&Co,680041.0,Arezzo&Co,1.001-5.000 funcionários,True,"Campo Bom, RS",Varejo,0.0,https://www.linkedin.com/company/680041/about/,"Indústria Calçadista, Acessórios, Varejo de Moda, Sapatos e Bolsas",0,http://www.arezzoco.com.br,,,,,
Argo Solutions,1263626.0,Argo Solutions,51-200 funcionários,True,"São Paulo, São Paulo",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/1263626/about/,"Tecnologia, Viagens corporativas, Conciliação e Gestão de Despesas",0,http://www.useargo.com,,,,,
Arié Alimi Avocats,5113498.0,Arié Alimi Avocats,2-10 funcionários,True,NF,Prática jurídica,0.0,https://www.linkedin.com/company/5113498/about/,"droit immobilier commercial, droit social e droit pénal",0,http://alimi-avocats.fr/,,,,,
Arizona Army National Guard,2159612.0,Arizona Army National Guard,5.001-10.000 funcionários,True,NF,Militar,0.0,https://www.linkedin.com/company/2159612/about/,NF,0,http://www.azguard.gov/,,,,,
ARNECKE SIBETH DABELSTEIN,10166627.0,ARNECKE SIBETH DABELSTEIN,201-500 funcionários,True,NF,Serviços jurídicos,0.0,https://www.linkedin.com/company/10166627/about/,"Automotive, Banking and Finance, Chemicals, Construction and Engineering, Energy and Renewables, Hospitality, Health Care and Life Science, IT and E-Commerce, Public Sector, Real Estate, Sports, Media and Entertainment, Transportation, Aviation and Logistics e Maritime / Shipping",0,http://asd-law.com,,,,,
ArrowMark Partners,1098362.0,ArrowMark Partners,51-200 funcionários,True,"Denver, CO",Gestão de investimentos,0.0,https://www.linkedin.com/company/1098362/about/,"alternative fixed income, fundamental research, speciality finance, asset manager, capacity constrained equity, CLO e opportunistic credit",0,http://www.arrowmarkpartners.com,,,,,
AR Homes® by Arthur Rutenberg,61961.0,Arthur Rutenberg Homes,51-200 funcionários,True,"Clearwater, Fl",Construção,0.0,https://www.linkedin.com/company/61961/about/,"Custom design luxury  home builder, Franchise home builder, Custom design luxury home plans, Green home builder, Custom design luxury home models e Design services",0,https://www.arhomes.com/,,,,,
"Institute for Fintech Research, Tsinghua University(THUIFR)",14438183.0,Artificial Intelligence Finance Institute - AIFI,11-50 funcionários,True,"Beijing, Beijing",Pesquisa,0.0,https://www.linkedin.com/company/14438183/about/,NF,0,http://thuifr.pbcsf.tsinghua.edu.cn/english,,,,,
ARTIUS,2844967.0,Artius Inc.,11-50 funcionários,True,NF,Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/2844967/about/,"Consultoria de Negócios, Consultoria de TI, Gestão de Projetos, Gestão de Projetos, Desenvolvimento WEB e Desenvolvimento Mobile",0,http://www.artius.com.br,,,,,
Arvest Bank,162536.0,Arvest Bank,5.001-10.000 funcionários,True,NF,Bancos,0.0,https://www.linkedin.com/company/162536/about/,"Personal Banking, Business Banking, Mortgage and Personal Loans e Commercial Loans",0,http://www.arvest.com,,,,,
AS Tecnologia e Serviços,10219374.0,AS Tecnologia e Serviços,2-10 funcionários,True,"São Paulo, SP",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/10219374/about/,NF,0,http://www.astecno.com.br,,,,,
"Ascension Health Payment Solutions, LLC",3516864.0,Ascension Health,11-50 funcionários,True,NF,Atendimento médico e hospitalar,0.0,https://www.linkedin.com/company/3516864/about/,NF,0,http://www.ascensionpayments.com,,,,,
Ascent Resources,10092612.0,Ascent Resources,201-500 funcionários,True,"Oklahoma City, Oklahoma",Petróleo e energia,,https://www.linkedin.com/company/10092612/about/,NF,4,http://www.ascentresources.com/,,,,,
